,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group
1284,100,18.64285714,257.5396429,1701.060714,86.56820714,1.004923071,9.285714286,236.0902143,1391.554286,79.47933571,20.52066429,0.983975357,0.662203101,442.7089141,473.7430303,7.40693171,72.10380137,344.0755586,3.30058427,0.114219911,3.770912386,134.3209223,128.6089725,4.847432659,4.847432659,0.12071371,0.116605074,82.31753685,93.94093102,14,cell,NADH,FAD,CD4 Spleen FOV3
1285,102,13.85714286,325.6835238,2363.917619,87.2874,1.141663571,7.714285714,188.3290952,1638.567,84.88187143,15.11812857,0.984743524,0.647175168,565.5118528,404.8018415,3.876670147,132.5941475,583.6908223,4.782439248,0.096489009,3.363671463,41.84075333,231.375477,3.421344191,3.421344191,0.098122675,0.086108933,167.172129,79.70742462,21,cell,NADH,FAD,CD4 Spleen FOV3
1286,103,14.44,103.687104,1054.3882,85.700748,0.97428672,6.96,303.60116,2747.74992,90.792164,9.2078288,1.09451368,0.653975808,239.7227228,513.1081521,9.282959298,30.12023719,171.0455596,6.32275094,0.06893389,3.622614157,77.43641949,824.0405232,2.879404331,2.879409616,0.090794688,0.112869516,94.53153633,118.4778349,25,cell,NADH,FAD,CD4 Spleen FOV3
1287,106,17.59677419,226.0745371,1670.683984,83.29098065,1.01693,9,194.6767258,1532.259742,84.37168548,15.628315,1.097360403,0.657643381,468.1153148,396.9208325,5.448596382,158.765966,612.474731,6.684181321,0.127962064,2.897143873,52.22555663,383.9235617,3.620645085,3.620644074,0.166877843,0.086438048,241.8959112,91.31528032,62,cell,NADH,FAD,CD4 Spleen FOV3
1288,111,18.03030303,273.8036364,1873.749394,83.86783333,1.042600485,11.15151515,155.4118788,1500.014848,91.12090909,8.879092424,1.097019939,0.611419077,515.4226147,275.1423559,8.401952334,89.4949944,355.8438886,6.288161724,0.127949189,4.637626091,38.42132938,173.7723561,3.621892813,3.621891687,0.0848653,0.105963659,136.6524948,88.78284366,33,cell,NADH,FAD,CD4 Spleen FOV3
1289,112,18.86206897,199.0473103,1587.705517,81.66186552,1.023979069,14.37931034,293.345069,2107.228966,89.05028966,10.94970897,0.956293103,0.574278674,446.8184632,488.2945618,9.884056924,103.1065878,351.1593157,4.689770847,0.14271891,7.766290681,85.06162088,542.6733977,2.525213621,2.525215408,0.143498635,0.121684401,133.9489085,133.543691,29,cell,NADH,FAD,CD4 Spleen FOV3
1290,114,22.77777778,426.0978472,2218.098333,82.24297917,0.955505361,11.86111111,319.3832222,2086.337083,87.732775,12.26722625,1.050664625,0.660599547,726.4326413,528.9155865,8.398897014,129.9378037,597.4706478,4.916037749,0.11959709,5.431534309,74.27105308,382.0824222,3.135770084,3.135768895,0.108927298,0.097865134,150.2160831,91.90471216,72,cell,NADH,FAD,CD4 Spleen FOV3
1291,115,16.7218543,200.4008854,1795.292185,85.50542517,1.027133576,10.52317881,195.3327808,1478.983172,86.28544172,13.71455841,1.029562623,0.622923139,427.4062999,367.251106,7.27384258,96.70358228,345.2367854,5.598332784,0.103287407,6.084772729,84.19111639,417.961994,5.189157415,5.18915741,0.132048086,0.103353885,166.1141585,134.2053093,151,cell,NADH,FAD,CD4 Spleen FOV3
1292,117,25.15053763,180.092129,1744.09172,89.74700215,1.026963333,23.58064516,168.0746882,1519.20814,92.1032,7.896797742,1.030362495,0.541554786,340.9033849,272.3854361,9.485625551,56.32409323,257.5181903,3.448737894,0.107022556,14.35900156,24.22090111,202.9437702,2.097781327,2.097783437,0.105541411,0.109602245,114.4490823,37.18332118,93,cell,NADH,FAD,CD4 Spleen FOV3
1293,118,16.04761905,188.6505619,1365.28981,85.67490952,0.92968381,9.095238095,173.7368095,1625.109524,89.09609048,10.90391,0.907252429,0.643974719,356.0524539,330.5538486,4.466275747,70.13165424,228.1913944,5.583094141,0.109739851,4.060846733,26.34364361,180.8019834,1.6600346,1.660034995,0.132248459,0.077427467,131.7367501,44.09704986,21,cell,NADH,FAD,CD4 Spleen FOV3
1294,120,17.70588235,348.4443824,1733.913529,81.04167353,0.941110206,11.5,226.606,1602.26,87.87271176,12.12728824,1.027840706,0.605645571,603.3831246,388.6112833,7.68914785,169.1006026,332.8806596,6.292434687,0.099512053,5.223780124,54.21281443,169.276743,6.043578158,6.043577069,0.077064076,0.078339082,168.512201,116.6461336,34,cell,NADH,FAD,CD4 Spleen FOV3
1295,121,21.5,216.8999396,1948.3275,83.47925833,1.021795167,10.5625,203.7196875,1313.097083,80.7269,19.2731,1.037243938,0.667799529,503.2911144,416.3542836,7.748713002,77.18038766,229.0323913,5.316728135,0.09640167,3.825481474,29.43281243,110.0207585,2.820539381,2.820539381,0.061889163,0.07194918,170.2206536,46.46741129,48,cell,NADH,FAD,CD4 Spleen FOV3
1296,123,14.01339286,155.7905049,1630.794317,89.58083661,1.046937504,8.455357143,189.7540848,1983.985313,91.10490402,8.895095134,1.062991902,0.623547914,311.9289383,342.0182952,6.450556976,85.72570151,430.1966481,3.759488443,0.148799057,4.145100069,39.8568829,476.2588106,2.550436001,2.550435447,0.142547891,0.119568701,160.6842933,61.21057263,224,cell,NADH,FAD,CD4 Spleen FOV3
1297,126,15.2,167.02886,1705.247429,89.98528,0.933903286,7.542857143,135.9267886,1278.617371,85.83574,14.164258,1.071952,0.669585286,324.0457576,297.1770614,6.144342209,149.1881285,367.5348037,4.835759482,0.133505175,3.407110706,65.82767532,283.0666996,3.477941815,3.477945322,0.156834616,0.101511672,224.3086641,105.2431817,35,cell,NADH,FAD,CD4 Spleen FOV3
1298,127,11.52173913,137.3296652,1501.859087,89.19918261,0.970213261,8.347826087,138.5169043,1531.662174,91.94666957,8.05333087,0.926614391,0.576690655,288.681687,242.3940054,3.591271808,46.2841323,339.7963453,3.001458113,0.095735764,2.901546541,28.2277933,413.8735287,2.8558324,2.855829708,0.10862328,0.105379304,106.5885418,34.12786022,23,cell,NADH,FAD,CD4 Spleen FOV3
1299,129,17.70093458,260.819457,2129.59614,86.03301869,0.992566533,10.31775701,232.5209813,1851.132785,87.84232897,12.15767037,0.970854224,0.633087657,519.0010918,419.5778567,6.739373121,131.9376962,598.3382922,4.817613065,0.09720222,4.469177736,44.42957283,427.2403111,3.624380194,3.624380535,0.165855683,0.092138388,218.3560962,68.85683727,107,cell,NADH,FAD,CD4 Spleen FOV3
1300,130,21,200.769,1618.239355,83.34881129,0.976983306,15.61290323,163.1507903,1501.674677,90.38357258,9.61642629,0.977051984,0.577905277,426.3392732,288.1527774,9.960578033,33.00717202,221.825891,7.336804133,0.116069547,8.878699577,22.08988537,212.7304645,3.599692742,3.599694594,0.09627012,0.089706873,95.00347014,57.37413743,62,cell,NADH,FAD,CD4 Spleen FOV3
1301,132,15.140625,135.4466891,1717.530625,91.54305938,0.949777828,8.703125,258.7279219,1598.374656,88.48282813,11.51717109,1.255102734,0.635046331,266.6795493,397.1633139,5.975790278,27.40628346,305.6795832,3.147598954,0.093919357,3.803422383,64.96830963,599.5448838,3.968728966,3.968729724,0.139994289,0.088776605,69.70407411,85.4992467,64,cell,NADH,FAD,CD4 Spleen FOV3
1302,133,15.60759494,318.2280405,1699.307152,82.00967722,1.049025886,9.493670886,178.9389241,1471.115038,84.9148962,15.08510418,0.992969367,0.616919113,552.4746974,369.7691819,6.163202883,198.77143,455.5002728,7.359137256,0.116401373,3.785510221,37.00779334,257.8516791,2.74800397,2.748003195,0.11557135,0.104442944,219.3006582,52.11855879,79,cell,NADH,FAD,CD4 Spleen FOV3
1303,135,19.91970803,268.8416934,1833.833139,79.72165693,0.967790942,13.21167883,222.5750365,1641.745401,83.08994964,16.91005299,1.074906526,0.60440661,579.8645671,448.6231428,8.303134059,81.28603111,329.1737348,5.886171513,0.127862685,6.59593308,94.05796033,302.8538919,7.681856228,7.681853118,0.10990919,0.101142927,144.2973628,134.6794475,137,cell,NADH,FAD,CD4 Spleen FOV3
